name	ID	cand1_without_overlap	cand1_vs_Ctrl_p.val	cand1_vs_Ctrl_p.adj	cand1_vs_Ctrl_significant	cand1_vs_Ctrl_ratio	cand1_centered
38	PSMA2	P25787	yes	2.21195003169764e-14	4.77e-15	TRUE	11.3	8.67
39	PSMA3	P25788-2	yes	1.31658201790716e-11	9.24e-15	TRUE	10.9	8.39
40	PSMA4	P25789	yes	3.20349036612791e-17	4.77e-15	TRUE	9.96	6.86
41	PSMA5	P28066	yes	2.21908078877729e-15	4.77e-15	TRUE	9.98	6.95
42	PSMA6	P60900	yes	2.50627578442003e-10	1.01e-11	TRUE	10.4	7.63
43	PSMA7	O14818	yes	1.91689261108341e-10	5.56e-12	TRUE	11.3	7.08
44	PSMB1	P20618	yes	6.20692086787677e-17	4.77e-15	TRUE	10.7	8.51
45	PSMB2	P49721	yes	9.53146070748185e-11	1.08e-12	TRUE	8.39	6.22
46	PSMB3	P49720	yes	2.53583916062847e-15	4.77e-15	TRUE	10.1	8.2
47	PSMB4	P28070	yes	7.08232457959426e-33	4.77e-15	TRUE	10	8.34
48	PSMB5	P28074	yes	4.00678370737586e-16	4.77e-15	TRUE	11.1	7.87
49	PSMB6	P28072	yes	1.75312230099589e-06	3.48e-05	TRUE	8.52	6.21
50	PSMB7	Q99436	yes	2.53403045648227e-36	4.77e-15	TRUE	10.8	9.01
51	PSMB8	P28062-2	yes	3.81005281033379e-31	4.77e-15	TRUE	8.18	6.82
52	PSMC1	P62191	yes	2.42432985020918e-12	4.77e-15	TRUE	10.2	8.55
53	PSMC2	P35998	yes	3.51856108886428e-11	9.69e-14	TRUE	11.7	8.65
54	PSMC3	P17980	yes	1.01337172553532e-13	4.77e-15	TRUE	11.4	8.86
55	PSMC4	P43686	yes	5.15016695095565e-11	2.5e-13	TRUE	12.3	9.22
56	PSMC5	P62195	yes	2.18898555777266e-09	8.5e-10	TRUE	10.9	7.24
57	PSMC6	P62333	yes	1.66074948804861e-13	4.77e-15	TRUE	11.6	9.13
58	PSMD1	Q99460	yes	1.35134409150813e-37	4.77e-15	TRUE	11.8	9.81
59	PSMD11	O00231	yes	2.50789392212869e-16	4.77e-15	TRUE	11.6	9.19
60	PSMD12	O00232	yes	4.4311609933606e-36	4.77e-15	TRUE	11	9.21
61	PSMD13	Q9UNM6	yes	9.83354454300767e-38	4.77e-15	TRUE	10.4	8.7
62	PSMD14	O00487	yes	1.1477269234535e-16	4.77e-15	TRUE	8.27	6.74
63	PSMD2	Q13200	yes	7.96822725415594e-10	1.18e-10	TRUE	12.1	8.39
64	PSMD3	O43242	yes	9.88183199206188e-15	4.77e-15	TRUE	12.6	9.97
65	PSMD4	P55036	yes	1.85143445777366e-11	1.74e-14	TRUE	9.89	7.57
66	PSMD6	Q15008	yes	4.17894562251008e-22	4.77e-15	TRUE	11.4	9.4
67	PSMD7	P51665	yes	6.3576258522949e-10	7.42e-11	TRUE	11.4	8.88
68	PSMD8	P48556	yes	1.39423415057954e-31	4.77e-15	TRUE	9.51	7.93
69	RBM6	P78332	yes	4.11613945682144e-08	1.51e-07	TRUE	9.15	6.3
70	RFC3	P40938-2	yes	0.00209954715917232	0.0422	TRUE	3.61	2.62
71	SFXN3	Q9BWM7	yes	2.11963080017559e-05	0.000645	TRUE	5.68	1.35
72	SLC25A1	P53007	yes	0.0016835557072347	0.036	TRUE	5.73	0.626
73	SLC25A13	Q9UJS0	yes	0.00178039242976789	0.0374	TRUE	4.49	1.45
74	SLC25A22	Q9H936	yes	0.000153413139334334	0.00494	TRUE	5.4	1.63
75	SLC25A24	Q6NUK1	yes	0.00233036180624876	0.0455	TRUE	2.07	0.152
76	SLC3A2	P08195-2	yes	6.64363027522161e-08	3.27e-07	TRUE	7.04	4
77	SLC7A5	Q01650	yes	1.93636509100977e-06	3.93e-05	TRUE	6.99	3.81
78	TECR	Q9NZ01	yes	0.000863359999840901	0.0218	TRUE	5.95	2.25
79	TFB2M	Q9H5Q4	yes	0.000463769659906217	0.0131	TRUE	5.32	1.57
80	TNPO1	Q92973-2	yes	0.000117146359874817	0.00383	TRUE	4.91	2.17
81	TOMM22	Q9NS69	yes	0.000308438683516325	0.0092	TRUE	5.19	1.75
82	TRIP13	Q15645	yes	1.38409229364713e-09	3.5e-10	TRUE	6.59	3.65
83	TUBB4A	P04350	yes	6.30352258809974e-06	0.000164	TRUE	6.56	4.84
84	TUBB6	Q9BUF5	yes	0.00118944851607248	0.028	TRUE	6.16	2.65
85	UBAC1	Q9BSL1	yes	5.08634015209364e-12	4.77e-15	TRUE	5.87	5.43
86	UQCRC2	P22695	yes	1.45247039490324e-05	0.000427	TRUE	7.17	2.06
87	VDAC2	P45880-2	yes	0.00185320018973105	0.0385	TRUE	5.67	0.562
88	WDR24	Q96S15-2	yes	5.22046154284596e-10	4.94e-11	TRUE	7.07	5.38
89	WDR61	Q9GZS3	yes	0.000885025204278525	0.0222	TRUE	4.41	2.89
90	XPOT	O43592	yes	9.11694328712309e-09	1.18e-08	TRUE	8.45	4.44
174	ADRM1	Q16186	#N/A	9.96173002107202e-10	1.85e-10	TRUE	8.84	3.9
182	ARF1	P84077	#N/A	2.37566316272588e-05	0.000729	TRUE	6.74	1.45
187	ARL1	P40616-2	#N/A	0.000590078921504888	0.0159	TRUE	4.33	0.745
188	ATAD3A	Q9NVI7-2	#N/A	1.56979598792123e-05	0.000464	TRUE	6.76	1.06
189	ATAD3B	Q5T9A4	#N/A	0.000245808775715926	0.00751	TRUE	6.74	-0.0666
193	BAG3	O95817	#N/A	9.9523084110794e-09	1.36e-08	TRUE	7.52	3.94
202	CAPZB	P47756-2	#N/A	8.04152378187627e-05	0.00266	TRUE	5.62	2.3
208	CHCHD3	Q9NX63	#N/A	0.00184889828801481	0.0384	TRUE	2.95	-0.555
217	CSE1L	P55060-3	#N/A	5.46713611813467e-05	0.00179	TRUE	6.55	1.33
218	CTPS1	P17812	#N/A	0.000139432630424574	0.00452	TRUE	5.86	1.28
233	DPYSL3	Q14195-2	#N/A	1.61312790903591e-07	1.29e-06	TRUE	7.37	2.74
238	EHD4	Q9H223	#N/A	3.6738228989284e-21	4.77e-15	TRUE	7.4	3.17
265	GCN1L1	Q92616	#N/A	0.00241321818277137	0.0467	TRUE	3.06	-0.894
293	HSP90AB1	P08238	#N/A	0.000308913507766676	0.00921	TRUE	6.18	1.42
294	HSPA1B	P0DMV9	#N/A	1.99566117565425e-06	4.07e-05	TRUE	1.73	1.28
296	HSPH1	Q92598	#N/A	1.16407957976824e-05	0.000334	TRUE	6.56	2.38
309	MAGEA4	P43358	#N/A	1.74049078915068e-07	1.44e-06	TRUE	7.14	2
327	NAMPT	P43490	#N/A	0.000965121327412614	0.0238	TRUE	5.35	0.808
354	PRDX1	PRDX1_HUMAN	#N/A	7.85751902461879e-09	9.11e-09	TRUE	9.86	1.14
355	PRKDC	P78527	#N/A	2.99321744246049e-10	1.47e-11	TRUE	12.1	4.38
403	RPS27A	RS27A_HUMAN	#N/A	0.000452159338549743	0.0128	TRUE	4.62	0.561
404	RPS27L	Q71UM5	#N/A	0.0025234856945219	0.0482	TRUE	4.92	1.95
413	SEC61A1	P61619	#N/A	2.47118026867259e-06	5.26e-05	TRUE	6.71	2.37
423	SLC16A1	P53985	#N/A	0.00068233506331453	0.018	TRUE	3.41	-0.457
424	SLC1A5	Q15758	#N/A	1.68225393661487e-09	5.11e-10	TRUE	7.03	2.82
430	SLC2A1	P11166	#N/A	3.21424005665732e-09	1.75e-09	TRUE	6.06	2.06
441	SPANXB1	Q9NS25	#N/A	7.7683544166708e-09	8.93e-09	TRUE	6.1	1.45
442	SQSTM1	Q13501	#N/A	1.05530136801444e-12	4.77e-15	TRUE	12.3	8.71
484	XPNPEP3	Q9NQH7-4	#N/A	1.50945757749588e-38	4.77e-15	TRUE	12.2	7.88
485	XPO1	O14980	#N/A	1.34159523160792e-06	2.5e-05	TRUE	7.47	2.12
