name	ID	cand16_harsh_without.overlap	cand16_PBS_without.overlap	cand16_harsh_vs_cand16_pbs_p.val	cand16_harsh_vs_parental_harsh_p.val	cand16_harsh_vs_parental_pbs_p.val	cand16_pbs_vs_parental_harsh_p.val	cand16_pbs_vs_parental_pbs_p.val	cand16_harsh_vs_cand16_pbs_p.adj	cand16_harsh_vs_parental_harsh_p.adj	cand16_harsh_vs_parental_pbs_p.adj	cand16_pbs_vs_parental_harsh_p.adj	cand16_pbs_vs_parental_pbs_p.adj	cand16_harsh_vs_cand16_pbs_significant	cand16_harsh_vs_parental_harsh_significant	cand16_harsh_vs_parental_pbs_significant	cand16_pbs_vs_parental_harsh_significant	cand16_pbs_vs_parental_pbs_significant	cand16_harsh_vs_cand16_pbs_ratio	cand16_harsh_vs_parental_harsh_ratio	cand16_harsh_vs_parental_pbs_ratio	cand16_pbs_vs_parental_harsh_ratio	cand16_pbs_vs_parental_pbs_ratio	cand16_harsh_centered	cand16_pbs_centered
32	RPL8	P62917	#N/A	yes	0.073822412901451	0.270148064328397	0.984779488571264	0.447126343629925	0.0712681554908091	0.84	0.672	0.885	1	0.0134	FALSE	FALSE	FALSE	FALSE	TRUE	-1.76	-1.05	0.0177	0.714	1.78	-0.698	1.06
33	RPS6	P62753	#N/A	yes	0.82867097197497	0.128977703018653	0.0513034675437539	0.185554603903068	0.0337979542306003	0.936	0.485	0.7	1	0.00193	FALSE	FALSE	FALSE	FALSE	TRUE	-0.154	-1.13	1.49	-0.973	1.64	0.0516	0.206
34	RPS9	P46781	#N/A	yes	0.216185772386882	0.225695020219284	0.540344256203312	0.978200337463137	0.0748467977043732	0.891	0.631	0.855	1	0.015	FALSE	FALSE	FALSE	FALSE	TRUE	-1.32	-1.29	0.64	0.0284	1.96	-0.493	0.827
35	SEC13	P55735	#N/A	yes	0.197869235045777	0.323911829774118	0.719927147510476	0.747133606245504	0.107704010487091	0.888	0.711	0.869	1	0.031	FALSE	FALSE	FALSE	FALSE	TRUE	-1.29	-0.976	0.349	0.314	1.64	-0.479	0.811
36	SEC23B	Q15437	#N/A	yes	0.205542918431657	0.844848449772377	0.00721592644288402	0.148924664364174	0.092377684042845	0.889	0.862	0.497	1	0.0233	FALSE	FALSE	FALSE	FALSE	TRUE	1.55	-0.233	3.66	-1.78	2.11	1.24	-0.306
38	SLC25A4	P12235	#N/A	yes	0.0688950266912618	0.688457030270598	0.000307877274404645	0.0319646724523705	0.015206962353035	0.836	0.837	0.197	1	0.000203	FALSE	FALSE	FALSE	FALSE	TRUE	1.25	-0.259	2.99	-1.51	1.75	0.995	-0.251
39	SYNCRIP	O60506-4	#N/A	yes	9.56565491164189e-05	0.999999999999996	0.0344086896287029	9.56565491164182e-05	0.00920488743830915	0.101	0.88	0.664	1	3.81e-05	FALSE	FALSE	FALSE	FALSE	TRUE	-3.92	3.55e-15	-1.72	3.92	2.21	-1.41	2.51
40	TCP1	P17987	#N/A	yes	0.427316003936129	0.161688946524132	0.000820119394862123	0.0374977903735975	0.0041814800468421	0.916	0.546	0.289	1	2.74e-06	FALSE	FALSE	FALSE	FALSE	TRUE	0.681	-1.23	3.51	-1.91	2.83	0.741	0.0608
41	TRIM32	Q13049	#N/A	yes	0.339294117432276	0.974095958382398	0.000838809386451096	0.323923777888646	0.00603991078335085	0.908	0.878	0.291	1	8.63e-06	FALSE	FALSE	FALSE	FALSE	TRUE	0.937	-0.0313	3.99	-0.968	3.05	1.22	0.286
42	TUBB3	Q13509	#N/A	yes	0.0774557614755025	0.650156047237397	0.000458218018425881	0.0326205963524187	0.0201125297047137	0.843	0.83	0.234	1	0.000464	FALSE	FALSE	FALSE	FALSE	TRUE	1.74	-0.423	4.13	-2.16	2.39	1.36	-0.378
43	TUFM	P49411	#N/A	yes	0.996888265900426	0.0852789965724375	0.0657106435887659	0.084676856590505	0.0652349161042258	0.941	0.373	0.72	1	0.011	FALSE	FALSE	FALSE	FALSE	TRUE	-0.004	1.86	2.01	1.87	2.01	0.967	0.971
44	ATAD3A	Q9NVI7-2	#N/A	#N/A	0.0102150477747448	0.126223546520396	0.000100835640513154	0.00040530354043809	0.0328971852141514	0.683	0.48	0.114	1	0.00181	FALSE	FALSE	FALSE	FALSE	TRUE	2.58	-1.42	4.64	-4	2.06	1.45	-1.13
58	HSP90AB1	P08238	#N/A	#N/A	0.791932210850027	0.383138959656864	0.206140452848921	0.538005649292656	0.132963390577242	0.934	0.744	0.801	1	0.045	FALSE	FALSE	FALSE	FALSE	TRUE	-0.326	-1.09	1.61	-0.766	1.93	0.0473	0.374
59	HSPA1B	P0DMV9	#N/A	#N/A	0.00573625003782922	0.962602532711604	0.000177820332234313	0.00521189198704519	0.0983330461500418	0.618	0.877	0.151	1	0.0263	FALSE	FALSE	FALSE	FALSE	TRUE	3.01	-0.0443	4.66	-3.06	1.64	1.91	-1.11
67	NAMPT	P43490	#N/A	#N/A	0.183847153551156	0.111168970219032	0.0101738047690979	0.00774843349301725	0.140188429515177	0.885	0.445	0.537	1	0.0488	FALSE	FALSE	FALSE	FALSE	TRUE	1.8	-2.19	3.82	-4	2.02	0.858	-0.946
73	PHB2	Q99623	#N/A	#N/A	0.391058637315388	0.228486164261836	0.445537688148326	0.714144690296152	0.116839664045893	0.913	0.634	0.845	1	0.0361	FALSE	FALSE	FALSE	FALSE	TRUE	-1.01	-1.43	0.892	-0.425	1.9	-0.386	0.62
81	RPS27L	Q71UM5	#N/A	#N/A	0.572747425744577	0.725703034866706	0.14417533109464	0.829420160029608	0.0517274182976207	0.925	0.844	0.778	1	0.00618	FALSE	FALSE	FALSE	FALSE	TRUE	-0.795	-0.493	2.13	0.302	2.92	0.21	1
